Edmonton,,,,,,,,,,,,,,,,Toronto,,,,,,,,,,,,,,,,Both,,,,,,,,,,,,,,,
Female,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,-1,-1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0
Warm All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warm Female,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Warm Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold All,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,-1,-1,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Cold Female,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,-1,,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0
Cold Male,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,0,0,1,0,2,2,2,0,0,0,0,0,0,2,2
Age 0-10 All,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,0,0,0,0,2,2,2,1,0,1,1,0,0,2,2
Age 0-10 Female,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0
Age 0-10 Male,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Age 11-60 All,0,-1,-1,0,0,-1,-1,-1,0,-1,0,0,0,1,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0
Age 11-60 Female,0,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,-1,-1,-1,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 Male,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,3,2,2,2,2,2,2,2,0,0,2,2,2
Age 60+All,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,0,2,2,2,2,2,2,2,0,2,0,0,2,2,2
Age 60+ Female,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,2,2,2,2,2,0,0,0,2,2,2
Age 60+ Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PM2.5,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Male,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2
Warm All,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2
Warm Female,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,,0,0,2,2,0,2,2,0,0,0,0,0,0,2,0
Warm Male,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cold All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cold Female,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
