Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Warm All,0.0017262,0.004028894,1.001727691,0.993848566,1.009669,0.003528955,0.013172585,1.001412579,0.991123903,1.01180806,-9.39E-06,0.000395592,0.999868539,0.989073617,1.010781,-0.000443961,0.000483107,0.995968105,0.987423018,1.004587
Warm Female,0.006540069,0.005222852,1.006561502,0.996310104,1.016918,0.005147815,0.017142606,1.002061247,0.988683838,1.01561966,4.18E-05,0.000512132,1.000585656,0.986622862,1.014746,-0.000806959,0.00064847,0.992683569,0.981268224,1.004232
Warm Male,-0.001455178,0.004633629,0.99854588,0.98951823,1.007656,0.002402404,0.015113455,1.000961423,0.989171072,1.012892309,-4.43E-05,0.000455432,0.999379521,0.986967937,1.011947,-0.000211822,0.000536725,0.998074276,0.988565272,1.007675
Cold All,0.01622636,0.002832235,1.016358722,1.010732362,1.022016,0.0386699,0.00453621,1.015588208,1.011982797,1.019206465,-0.00220835,0.000328259,0.96955614,0.960862148,0.978329,0.000997911,0.000343788,1.009122347,1.00295354,1.015329
Cold Female,0.019085,0.003848527,1.019268283,1.011608752,1.026986,0.03959069,0.006191313,1.015962334,1.011042813,1.020905793,-0.002040705,0.000447431,0.97183439,0.959975633,0.983840,0.001332853,0.000472449,1.012202816,1.003709224,1.020768
Cold Male,0.01432027,0.003290739,1.014423296,1.007901475,1.020987,0.03810461,0.005276461,1.015358593,1.011166989,1.019567573,-0.002321477,0.000381036,0.968021794,0.957953246,0.978196,0.000773191,0.00041247,1.007060849,0.999679275,1.014497
Age 0-10 All,0.00071328,0.007083603,1.000713534,0.986915771,1.014704,0.03106752,0.01323593,1.012504544,1.002052142,1.023065976,-0.001204279,0.000753625,0.983281427,0.963156492,1.003827,0.000259602,0.000863843,1.002365171,0.987039593,1.017929
Age 0-10 Female,0.001929841,0.009910037,1.001931704,0.982658297,1.021583,0.04284463,0.01834477,1.017285548,1.002759352,1.032022172,-0.001085531,0.001052055,0.984917464,0.95689097,1.013765,-0.001668661,0.001248473,0.984929893,0.963240094,1.007108
Age 0-10 Male,-0.00019036,0.008809949,0.999809658,0.982693645,1.017224,0.02185801,0.01659305,1.008781537,0.995743338,1.021990458,-0.001295706,0.000939098,0.982023653,0.9570413,1.007658,0.001614601,0.001078584,1.01480134,0.995465557,1.034513
Age 11-60 All,0.011494085,0.003550434,1.011560396,1.004545534,1.018624,0.03306794,0.006690421,1.013315042,1.008013826,1.018644138,-0.001296281,0.00038759,0.982015748,0.971626893,0.992516,0.000542719,0.000430081,1.004950959,0.997271547,1.012690
Age 11-60 Female,0.015075284,0.004950026,1.015189489,1.005387695,1.025087,0.033714985,0.009335932,1.01357734,1.006185676,1.021023305,-0.001424122,0.000540777,0.980259734,0.965821129,0.994914,0.000768271,0.000611438,1.007015762,0.996093309,1.018058
Age 11-60 Male,0.009408649,0.004122618,1.009453049,1.0013292,1.017643,0.03270512,0.007775119,1.013167992,1.007010816,1.019362815,-0.001221567,0.000449889,0.98304347,0.970982443,0.995254,0.000411716,0.000494317,1.003753643,0.994942808,1.012643
Age 60+All,0.021182154,0.007812811,1.021408088,1.005886301,1.037169,0.041912561,0.015048399,1.016906346,1.004979436,1.028974803,-0.000724676,0.00086675,0.989905828,0.966640052,1.013732,0.001147099,0.000933858,1.010493273,0.993801599,1.027465
Age 60+ Female,0.025800558,0.00989693,1.026136273,1.006423115,1.046236,0.03451186,0.01906184,1.013900469,0.998860911,1.029166474,0.000200014,0.001098066,1.00280412,0.97303937,1.033479,0.001997976,0.001154615,1.018347873,0.997590775,1.039537
Age 60+ Male,0.01451178,0.01135013,1.014617587,0.992295359,1.037442,0.05290277,0.02187538,1.021386592,1.004018864,1.03905475,-0.002058097,0.001257197,0.971597788,0.938651654,1.005700,-9.22E-05,0.001378021,0.999161193,0.974902764,1.024023
All: LAG 5,0.006363588,0.003342738,1.006383879,0.999811839,1.012999,0.02713376,0.006339871,1.010912617,1.005900384,1.015949825,-0.001310034,0.000362557,0.981826687,0.972107348,0.991643,0.000707166,0.000401318,1.006455961,0.999277564,1.013686
