Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Age 11-60 Female,0.007042717,0.003710409,1.009197572,0.999701455,1.018784,0.001234452,0.000413848,1.0160519,1.005475635,1.026739,-0.000443966,0.000354367,0.992040458,0.979715108,1.004521,0.000864396,0.001677622,1.001903481,0.994681956,1.009177
Age 11-60 Male,0.011706238,0.003070562,1.015334494,1.007421723,1.023309,0.001609176,0.00034478,1.020975324,1.012113737,1.029914,-0.000429829,0.000295352,0.992292931,0.982006904,1.002687,0.004189551,0.001390484,1.00925962,1.003226439,1.015329
Age 60+All,0.017423381,0.005967626,1.022908863,1.007472666,1.038582,0.001798161,0.000669335,1.023467403,1.006292526,1.040935,0.000756765,0.000579737,1.013714969,0.993191929,1.034662,-0.003131164,0.002736588,0.993135111,0.981484823,1.004924
Age 60+ Female,0.01826605,0.00759139,1.024030043,1.004412711,1.044031,0.001824247,0.000850791,1.023811867,1.002023431,1.046074,0.000449656,0.000736087,1.008126651,0.982283475,1.034650,-0.0039237,0.003481729,0.99140501,0.976632006,1.006401
Age 60+ Male,0.016158014,0.008682244,1.021227585,0.998883684,1.044071,0.001753976,0.000974573,1.022884206,0.997987215,1.048402,0.001204225,0.000844493,1.021912682,0.991915196,1.052817,-0.002014081,0.003974535,0.995578824,0.978661778,1.012788
All: LAG 3,0.00978923,0.002492335,1.012807319,1.006395896,1.019260,0.001452813,0.000279072,1.018918008,1.01175377,1.026133,-0.000365256,0.000240397,0.993446957,0.985056958,1.001908,0.001867072,0.001137131,1.004116006,0.999204566,1.009052
Female,0.010997854,0.003304107,1.014399904,1.005895657,1.022976,0.001320535,0.000369505,1.017180823,1.007721999,1.026728,0.000107609,0.000317965,1.001938839,0.990762091,1.013242,0.001084462,0.001507006,1.002388665,0.995896051,1.008924
Male,0.009009482,0.002893244,1.011781184,1.004349774,1.019268,0.001543955,0.000324552,1.020116687,1.01177989,1.028522,-0.000680415,0.000278948,0.987827225,0.978153415,0.997597,0.002388454,0.001318404,1.005268428,0.999569733,1.011000
Warm All,0.007554745,0.002577867,1.009869554,1.003258059,1.016525,0.000793556,0.000404678,1.010289448,1.000004994,1.020680,0.000535258,0.000231901,1.009681207,1.001454233,1.017976,-0.002875825,0.001273343,0.993693157,0.988252082,0.999164
Warm Female,0.011540639,0.003338997,1.015115938,1.006516205,1.023789,0.001026658,0.000525064,1.013331977,0.999968171,1.026874,0.000979645,0.000300183,1.01779,1.007068015,1.028626,-0.00323472,0.001656654,0.992908878,0.985841314,1.000027
Warm Male,0.00494264,0.002981458,1.006446119,0.998829363,1.014121,0.000640728,0.000467377,1.008299644,0.996454531,1.020286,0.000244438,0.000268182,1.004409578,0.994951211,1.013958,-0.00264163,0.001468162,0.994205269,0.98793112,1.000519
Cold All,0.01241905,0.002407828,1.016275796,1.010059883,1.022530,0.001697936,0.000220747,1.022145014,1.016455939,1.027866,-0.001484578,0.000250017,0.97363148,0.965081231,0.982257,0.005331062,0.001019796,1.011797383,1.007357913,1.016256
Cold Female,0.010138714,0.003284371,1.013267572,1.004823346,1.021783,0.00137231,0.000301298,1.017860422,1.010135803,1.025644,-0.000958059,0.000339802,0.982902783,0.971189882,0.994757,0.00420229,0.001388782,1.009287905,1.003261919,1.015350
Cold Male,0.01395967,0.002801828,1.018313239,1.01106933,1.025609,0.001919197,0.00025751,1.025066657,1.018414248,1.031763,-0.00184238,0.000291702,0.967381018,0.957476514,0.977388,0.006091793,0.001187868,1.013492153,1.008314231,1.018697
Age 0-10 All,0.009168323,0.005243594,1.011990132,0.998559181,1.025602,0.001531246,0.000597308,1.019949456,1.004661569,1.035470,-0.000473258,0.000498086,0.991517537,0.974246314,1.009095,0.000246397,0.002382796,1.00054222,0.990314665,1.010875
Age 0-10 Female,0.010549928,0.007348718,1.013809387,0.9950029,1.032971,0.001703667,0.000836821,1.022220584,1.000819458,1.044079,-5.65E-05,0.00069554,0.998984067,0.974768667,1.023801,0.003163764,0.003328358,1.00698456,0.992635652,1.021541
Age 0-10 Male,0.008131538,0.006533,1.01062707,0.993943331,1.027591,0.001403386,0.000744706,1.018268544,0.999274796,1.037623,-0.000793622,0.000621968,0.985816353,0.964420162,1.007687,-0.001974534,0.002974375,0.995665447,0.982977076,1.008518
Age 11-60 All,0.00910902,0.00267929,1.011912117,1.005027491,1.018844,0.001364166,0.000299311,1.017753494,1.010080431,1.025485,-0.000458716,0.000258476,0.991777106,0.982774169,1.000863,0.002423869,0.001220391,1.005346755,1.000070188,1.010651
Age 11-60 Female,0.009808481,0.003749776,1.012832666,1.003201711,1.022556,0.001199104,0.000417784,1.015588697,1.004917241,1.026373,-6.50E-05,0.000360707,0.998831542,0.986201204,1.011624,0.000951275,0.00170642,1.002094996,0.994748559,1.009496
Age 11-60 Male,0.008727118,0.003119609,1.011409855,1.003402264,1.019481,0.001464167,0.000349303,1.019067256,1.010106708,1.028107,-0.000689075,0.0003011,0.987673255,0.977236921,0.998221,0.003285815,0.001420207,1.007254984,1.001105471,1.013442
Age 60+All,0.01573783,0.005992554,1.020669903,1.005203644,1.036374,0.002026546,0.000671511,1.026487154,1.009206077,1.044064,0.00052017,0.000584232,1.009407031,0.988814384,1.030429,-0.00016723,0.002757571,0.999632162,0.987816278,1.011589
Age 60+ Female,0.016907818,0.007611868,1.022223507,1.002588468,1.042243,0.001514084,0.000851479,1.019723675,0.998004881,1.041915,0.001130058,0.000742032,1.020549333,0.994179162,1.047619,-0.000465703,0.00351444,0.998975978,0.983951362,1.014230
Age 60+ Male,0.014113447,0.008679868,1.01851683,0.996238271,1.041294,0.002772331,0.000975504,1.036410261,1.011160243,1.062291,-0.000346561,0.000844987,0.993781319,0.964592796,1.023853,0.000282311,0.003969362,1.000621277,0.98364049,1.017895
All: LAG 4,0.007118348,0.00251927,1.009296802,1.002838774,1.015796,0.001233934,0.000283073,1.016045111,1.008799017,1.023343,-0.000413307,0.000242233,0.992588079,0.984141584,1.001107,0.003172903,0.001140798,1.007004806,1.002063391,1.011971
Female,0.011136386,0.003328193,1.014582605,1.006015084,1.023223,0.001513423,0.000373227,1.01971498,1.010137525,1.029383,-6.28E-05,0.000320196,0.99887017,0.987649913,1.010218,0.004106031,0.00150675,1.009074191,1.002539381,1.015652
Male,0.00444749,0.002912618,1.005798484,0.99836173,1.013291,0.001047511,0.000328116,1.013604604,1.005230438,1.022049,-0.000648656,0.000279765,0.98839209,0.978684538,0.998196,0.00254507,0.001319248,1.005614859,0.999910561,1.011352
Warm All,0.003141842,0.002588397,1.004092747,0.997492309,1.010737,0.000240932,0.000408288,1.003112858,0.992810836,1.013522,0.000366084,0.000233093,1.006611271,0.998367325,1.014923,-0.003554848,0.001282536,0.992209836,0.986737768,0.997712
Warm Female,0.008883668,0.003349567,1.011615713,1.003018619,1.020286,0.001044265,0.000528797,1.013562161,1.00010092,1.027205,0.000951574,0.000301236,1.017275863,1.006521901,1.028145,-0.001740623,0.001665037,0.996177952,0.989051367,1.003356
Warm Male,-0.000667828,0.002979644,0.9991322,0.991575378,1.006747,-0.000289782,0.000469734,0.996268791,0.984506339,1.008172,-2.43E-05,0.00026855,0.999562366,0.99013679,1.009078,-0.004763651,0.001474349,0.989574692,0.983303532,0.995886
Cold All,0.01163126,0.002439255,1.015235533,1.008945187,1.021565,0.001606574,0.00022341,1.020941055,1.015190324,1.026724,-0.001345228,0.000251919,0.976076705,0.967440063,0.984790,0.008051125,0.001010855,1.017870271,1.013443227,1.022317
Cold Female,0.013533274,0.003318819,1.017748929,1.009178774,1.026392,0.001665194,0.000304138,1.02171338,1.013886714,1.029600,-0.001298942,0.00034283,0.976890261,0.965145899,0.988778,0.008375527,0.00137873,1.018596969,1.012559289,1.024671
Cold Male,0.010373087,0.00282862,1.013576346,1.006297435,1.020908,0.001568779,0.000259741,1.020443411,1.013763819,1.027167,-0.001376107,0.000292266,0.975534331,0.965527137,0.985645,0.007829841,0.001175308,1.017374867,1.012231928,1.022544
Age 0-10 All,-0.003739208,0.00528379,0.995150825,0.981842798,1.008639,0.00042584,0.000602422,1.005508452,0.990308962,1.020941,-0.001227433,0.000499839,0.978148486,0.9610507,0.995550,0.002342906,0.002377322,1.0051677,0.994916346,1.015525
Age 0-10 Female,-0.002041041,0.007384112,0.997350164,0.978760728,1.016293,0.001049612,0.000840128,1.013632076,0.992327781,1.035394,-0.001004612,0.000696427,0.982079501,0.958243881,1.006508,0.002985752,0.003310885,1.006590275,0.992321748,1.021064
Age 0-10 Male,-0.005016581,0.006577293,0.993499664,0.976988402,1.010290,-4.79E-05,0.000751066,0.999382147,0.98058299,1.018542,-0.001398653,0.000624024,0.975138512,0.953904878,0.996845,0.001842633,0.0029673,1.00406202,0.991296888,1.016992
Age 11-60 All,0.007645737,0.002701008,1.009989019,1.003061968,1.016964,0.001291465,0.000302915,1.016799448,1.009041626,1.024617,-0.000399565,0.000260108,0.992833632,0.98376446,1.001986,0.003198769,0.001223194,1.007062112,1.001764434,1.012388
Age 11-60 Female,0.011187517,0.003773709,1.014650047,1.004940526,1.024453,0.001584933,0.000421778,1.020656079,1.009829395,1.031599,-0.000212832,0.000363641,0.996176353,0.983477784,1.009039,0.004126897,0.001707154,1.009120514,1.001719402,1.016576
Age 11-60 Male,0.005593329,0.003131532,1.007297828,0.999292435,1.015367,0.001119155,0.000352278,1.014541818,1.005545422,1.023619,-0.000508209,0.000301266,0.990893951,0.980417844,1.001482,0.002653574,0.001418873,1.005854936,0.999719722,1.012028
Age 60+All,0.017906385,0.005983038,1.023551355,1.008065875,1.039275,0.001873517,0.000672654,1.024462791,1.007186687,1.042035,0.000656642,0.000581186,1.011889683,0.991352917,1.032852,0.004228217,0.002739222,1.009345476,0.997493698,1.021338
Age 60+ Female,0.024112186,0.007574316,1.031842296,1.012119336,1.051950,0.001616285,0.000852744,1.021068958,0.99928955,1.043323,0.001685389,0.000733908,1.030801858,1.00445462,1.057840,0.005327835,0.003474756,1.0117902,0.996743403,1.027064
Age 60+ Male,0.008904549,0.008700311,1.011643174,0.989463424,1.034320,0.0022455,0.000976415,1.029390573,1.004288442,1.055120,-0.000849646,0.00084656,0.984822726,0.955844281,1.014680,0.002669574,0.003968359,1.005890343,0.988824415,1.023251
All: LAG 5,0.003593044,0.002539589,1.004681883,0.998201703,1.011204,0.000833273,0.00028547,1.010807202,1.003537641,1.018129,-0.000599817,0.000243997,0.989261369,0.980782143,0.997814,0.003423964,0.001148976,1.007561163,1.002581663,1.012565
Female,0.005280194,0.003353575,1.006887865,0.998320755,1.015528,0.000945063,0.000376031,1.01226593,1.002687349,1.021936,-0.00046109,0.000322036,0.991734727,0.980530968,1.003067,0.003273956,0.001519897,1.007228705,1.000649118,1.013852
Male,0.002456139,0.002924943,1.003198084,0.995749286,1.010703,0.000758467,0.000329566,1.009832246,1.001452531,1.018282,-0.000695679,0.000281209,0.987555855,0.977806701,0.997402,0.003516852,0.001322733,1.007767083,1.002035519,1.013531
Warm All,-0.002609865,0.002590043,0.996612925,0.990057503,1.003212,-0.000434449,0.00040851,0.994411283,0.984193102,1.004736,-0.000250484,0.000233874,0.995501437,0.987321274,1.003749,-0.002604744,0.001287859,0.994285951,0.988779737,0.999823
Warm Female,-0.001420546,0.003358429,0.998154994,0.989649947,1.006733,0.000158789,0.000530682,1.002050477,0.988695002,1.015586,-0.000417778,0.000302789,0.9925082,0.981962263,1.003167,-0.00369276,0.001677063,0.991908839,0.984761728,0.999108
Warm Male,-0.003450463,0.002981484,0.995524443,0.987990276,1.003116,-0.000829771,0.000469555,0.989353039,0.977676663,1.001169,-0.000144731,0.000269509,0.997398232,0.987959637,1.006927,-0.001919066,0.001478776,0.995786955,0.989457538,1.002157
Cold All,0.01112221,0.002465379,1.014563908,1.008210611,1.020957,0.001351627,0.000226089,1.017588882,1.011788497,1.023423,-0.000932157,0.000254829,0.983361155,0.974559999,0.992242,0.007837746,0.001021134,1.017392561,1.012922697,1.021882
Cold Female,0.01324868,0.003341323,1.01737246,1.008747632,1.026071,0.001276767,0.000306283,1.016606677,1.00876442,1.024510,-0.000375303,0.000345104,0.993267313,0.981247338,1.005435,0.008184745,0.001387643,1.018169532,1.012095488,1.024280
Cold Male,0.009709123,0.002852583,1.012701852,1.005367834,1.020089,0.001404073,0.000262034,1.018277569,1.011553506,1.025046,-0.001309096,0.000294461,0.976711729,0.9666176,0.986911,0.007605746,0.00118391,1.016873416,1.011695485,1.022078
Age 0-10 All,-0.010697171,0.005286806,0.986189924,0.972994252,0.999565,-0.000744459,0.000602878,0.990442445,0.97545945,1.005656,-0.000906705,0.000498005,0.983811771,0.966677537,1.001250,0.000854492,0.002381095,1.00188165,0.991647677,1.012221
Age 0-10 Female,-0.007966546,0.007391498,0.989696934,0.971231868,1.008513,-0.000125858,0.000842535,0.998377749,0.977334586,1.019874,-0.000906043,0.000693967,0.983823494,0.960028863,1.008208,0.001954635,0.003334724,1.004309456,0.989971491,1.018855
Age 0-10 Male,-0.012763612,0.006581314,0.983544205,0.967188487,1.000177,-0.001210301,0.000750399,0.984508366,0.966005287,1.003366,-0.000910311,0.000621587,0.983747916,0.962409554,1.005559,5.12E-05,0.002959076,1.000112605,0.9874327,1.012955
Age 11-60 All,0.004568524,0.002721144,1.005956753,0.999006101,1.012956,0.000996478,0.000305183,1.012937541,1.005151543,1.020784,-0.000689246,0.000262039,0.987670214,0.97858154,0.996843,0.003900643,0.001230455,1.00861834,1.003281064,1.013984
Age 11-60 Female,0.004923526,0.003796187,1.006421111,0.996733247,1.016203,0.001005309,0.000424362,1.013052942,1.002241426,1.023981,-0.000684387,0.0003652,0.987756602,0.975111728,1.000565,0.003765752,0.00171821,1.008319067,1.000876116,1.015817
Age 11-60 Male,0.004364335,0.003144134,1.005689761,0.997665112,1.013779,0.000991699,0.000353574,1.012875097,1.003860585,1.021971,-0.000692184,0.00030307,0.987617984,0.977114321,0.998235,0.003980177,0.001421944,1.008794839,1.002628415,1.014999
Age 60+All,0.015719173,0.006004883,1.020645147,1.005147687,1.036382,0.001693782,0.000674669,1.022090243,1.004802954,1.039675,0.000547829,0.000584622,1.009909701,0.989293188,1.030956,0.003407648,0.002757263,1.007524997,0.99561714,1.019575
Age 60+ Female,0.020282322,0.007595428,1.026717704,1.007038523,1.046781,0.001693016,0.000851602,1.022080143,1.000308049,1.044326,0.001125082,0.000739035,1.020457928,0.994195234,1.047414,0.002438782,0.00348509,1.00537974,0.990384143,1.020602
Age 60+ Male,0.008988988,0.008728725,1.011754229,0.989500403,1.034509,0.001691937,0.000983814,1.022065917,0.996955877,1.047808,-0.000307496,0.000849451,0.994480361,0.965119299,1.024735,0.004846174,0.004009231,1.01071862,0.993395684,1.028344
All: LAG 6,-0.002056531,0.002561965,0.99733008,0.990840826,1.003862,0.00063066,0.00028885,1.008168697,1.000832577,1.015559,-0.001082369,0.000244747,0.980705918,0.972274297,0.989211,0.003408907,0.001154095,1.007527788,1.002526324,1.012554
Female,-0.004900727,0.00338115,0.993649306,0.985125618,1.002247,0.000385407,0.000380182,1.00498413,0.99536998,1.014691,-0.001099534,0.00032273,0.980402956,0.969303481,0.991630,0.003549264,0.001522071,1.007838946,1.001245986,1.014475
Male,-0.000177547,0.002944604,0.999769216,0.992296166,1.007299,0.000795068,0.000332697,1.010309154,1.001846168,1.018844,-0.001072066,0.000281976,0.980887811,0.971178204,0.990694,0.003307851,0.001328281,1.007303816,1.001550926,1.013090
Warm All,-0.01386852,0.002634175,0.982132475,0.975562595,0.988747,-0.001953703,0.000417714,0.97511217,0.964867735,0.985465,-0.000678231,0.00023747,0.987866059,0.979624348,0.996177,-0.003799968,0.001292558,0.991674917,0.986163181,0.997217
Warm Female,-0.01895734,0.003399491,0.975656655,0.967242108,0.984144,-0.002900414,0.000539692,0.963275965,0.950220788,0.976511,-0.000787319,0.000306183,0.985928204,0.975335389,0.996636,-0.005780576,0.001669854,0.987363256,0.980279369,0.994498
Warm Male,-0.010554648,0.003029754,0.986372662,0.978787366,0.994017,-0.001339165,0.00047976,0.982873133,0.971022654,0.994868,-0.000609149,0.000272835,0.989095211,0.979620232,0.998662,-0.002515669,0.001482999,0.994480815,0.988141707,1.000861
Cold All,0.009971548,0.002481051,1.013047396,1.006663397,1.019472,0.001513548,0.000228283,1.019716624,1.013847867,1.025619,-0.001555394,0.000254456,0.972391195,0.963700902,0.981160,0.008684781,0.001031455,1.019290216,1.014766853,1.023834
Cold Female,0.009356529,0.003358353,1.012237764,1.003612915,1.020937,0.001470101,0.000308398,1.019145267,1.011229349,1.027123,-0.001409874,0.000343456,0.974941576,0.963199369,0.986827,0.01023895,0.001393261,1.022781309,1.016655124,1.028944
Cold Male,0.010381829,0.002861604,1.013587865,1.006224302,1.021005,0.0015433,0.000264355,1.020108067,1.01331245,1.026949,-0.001654112,0.000294567,0.970664863,0.960629635,0.980805,0.007635029,0.001198107,1.016938928,1.011698727,1.022206
Age 0-10 All,-0.011750585,0.005304225,0.984840322,0.971619584,0.998241,-0.000525001,0.000606507,0.993250369,0.978135143,1.008599,-0.000795789,0.000498491,0.985777901,0.968592817,1.003268,-0.000223181,0.002377545,0.999509122,0.989314527,1.009809
Age 0-10 Female,-0.017920778,0.007425379,0.976972269,0.958661846,0.995632,-0.001010438,0.000846912,0.987049933,0.966138603,1.008414,-0.000606029,0.000696849,0.98915076,0.965129148,1.013770,0.002884917,0.003316209,1.006367001,0.992078863,1.020861
Age 0-10 Male,-0.007128462,0.006604299,0.990775806,0.974242771,1.007589,-0.000156065,0.000756189,0.997988787,0.97908901,1.017253,-0.000947959,0.000621202,0.983081491,0.961770648,1.004865,-0.002609478,0.002966369,0.994275596,0.981638824,1.007075
Age 11-60 All,-0.001750165,0.002744723,0.997727372,0.990774054,1.004729,0.000686258,0.000308772,1.008892029,1.001046284,1.016799,-0.001175134,0.000262763,0.979069731,0.970035422,0.988188,0.003665311,0.001236595,1.008096283,1.00273522,1.013486
Age 11-60 Female,-0.00384104,0.00382387,0.995019094,0.985371479,1.004761,0.00048996,0.00042878,1.0063405,0.995489414,1.017310,-0.001182538,0.000365834,0.978939257,0.966385644,0.991656,0.003480448,0.001722323,1.007686375,1.000230355,1.015198
Age 11-60 Male,-0.000528558,0.003166564,0.999313111,0.991282688,1.007409,0.000802906,0.000357022,1.010411312,1.001331429,1.019574,-0.001170774,0.000303817,0.979146572,0.968707475,0.989698,0.003772987,0.00142805,1.008335117,1.002145117,1.014563
Age 60+All,0.008857703,0.006035432,1.011581567,0.996144186,1.027258,0.001754924,0.000679888,1.022896716,1.0054631,1.040633,-0.000797549,0.000585281,0.985746672,0.965600979,1.006313,0.006651456,0.002744091,1.014740793,1.002804608,1.026819
Age 60+ Female,0.003089375,0.007662031,1.004024263,0.984612942,1.023818,0.001260454,0.000859896,1.016392767,0.994533244,1.038733,-0.001244895,0.000739509,0.977841087,0.952659257,1.003689,0.004705043,0.003475777,1.010404853,0.995374276,1.025662
Age 60+ Male,0.017065966,0.008712673,1.02243369,0.999985865,1.045385,0.002463015,0.000987798,1.03228304,1.006820564,1.058389,-0.000138342,0.00085036,0.997512942,0.968031301,1.027892,0.009428798,0.00397759,1.020959994,1.003598446,1.038622
All: LAG 7,-0.000189442,0.002557576,0.999753756,0.993259839,1.006290,0.000335706,0.000289908,1.004339998,0.997005067,1.011729,-0.000567666,0.000244493,0.989834038,0.981332732,0.998409,0.00079609,0.00116223,1.001752933,0.996745171,1.006786
Female,-0.006387408,0.003387037,0.99173075,0.98320877,1.000327,-0.000194631,0.000382919,0.997492409,0.987881563,1.007197,-0.000748928,0.000323218,0.986609754,0.975423215,0.997925,0.000336422,0.001538598,1.000740402,0.994123031,1.007402
Male,0.003935164,0.002934896,1.005128821,0.997640386,1.012673,0.000692558,0.000333371,1.008974025,1.000505173,1.017515,-0.000446072,0.000281213,0.992002853,0.98220966,1.001894,0.001100169,0.001334987,1.002423303,0.996669466,1.008210
Warm All,-0.00741218,0.002633865,0.990410442,0.983785964,0.997080,-0.001345739,0.000421036,0.982789784,0.972383012,0.993308,-0.000280331,0.000236334,0.994966751,0.986705344,1.003297,-0.003603769,0.001295381,0.992103054,0.986576929,0.997660
Warm Female,-0.014974328,0.003415478,0.980721625,0.97222379,0.989294,-0.002214745,0.000547728,0.971834059,0.958468132,0.985386,-0.000697583,0.000306408,0.98752201,0.976904316,0.998255,-0.004658703,0.001686541,0.989803197,0.982631098,0.997028
Warm Male,-0.002433327,0.003023317,0.996841673,0.989192093,1.004550,-0.000777895,0.000482607,0.990015336,0.97800834,1.002170,-4.44E-06,0.000271274,0.999920018,0.990395885,1.009536,-0.002925338,0.001484087,0.993584921,0.987246892,0.999964
Cold All,0.007318022,0.002485183,1.009558825,1.003186248,1.015972,0.000907469,0.000230622,1.011775138,1.005892597,1.017692,-0.000923084,0.000255596,0.983521764,0.974692796,0.992431,0.003877809,0.001052986,1.008567674,1.003998678,1.013157
Cold Female,0.002265508,0.003364768,1.002949502,0.994387541,1.011585,0.000451694,0.000311298,1.005843862,0.997958082,1.013792,-0.000785435,0.000344523,0.98596164,0.974050039,0.998019,0.003699778,0.001421301,1.008172727,1.002012885,1.014370
Cold Male,0.010710901,0.002857363,1.014021564,1.006665728,1.021431,0.00121667,0.000265849,1.015818857,1.009013698,1.022670,-0.001015252,0.000295038,0.981891431,0.971723989,0.992165,0.003998247,0.001214549,1.008834943,1.003565349,1.014132
Age 0-10 All,0.001468414,0.005300685,1.001910761,0.988469781,1.015535,-0.000123937,0.000610658,0.99840249,0.983105673,1.013937,0.000321616,0.000498534,1.005805877,0.988270146,1.023653,0.001569035,0.002396816,1.003457842,0.993140441,1.013882
Age 0-10 Female,-0.005021976,0.007423561,0.993492696,0.974877163,1.012464,-0.000553771,0.000855704,0.992881809,0.971630913,1.014597,0.000200101,0.000695316,1.003608312,0.97928856,1.028532,-0.000758866,0.003343511,0.998331888,0.984041976,1.012829
Age 0-10 Male,0.006399976,0.006592179,1.008354676,0.991558924,1.025435,0.00020065,0.000759225,1.002591738,0.98352929,1.022024,0.000413162,0.000622069,1.007464639,0.98559508,1.029819,0.003378429,0.002990095,1.007460234,0.994554137,1.020534
Age 11-60 All,-0.001253248,0.002744343,0.998372104,0.991415253,1.005378,0.000401311,0.000310328,1.005190335,0.997334138,1.013108,-0.000813389,0.000262585,0.985465656,0.976378461,0.994637,0.000889841,0.001245646,1.001959568,0.996592244,1.007356
Age 11-60 Female,-0.007122092,0.003835129,0.99078401,0.981149311,1.000513,-9.34E-05,0.000432082,0.998796215,0.987943991,1.009768,-0.00104333,0.000366449,0.981395304,0.968789175,0.994165,0.000917918,0.001739615,1.00202146,0.994533197,1.009566
Age 11-60 Male,0.002162471,0.003163643,1.002815167,0.994764006,1.010931,0.000693631,0.000358577,1.008987991,0.999881586,1.018177,-0.000679395,0.000303328,0.987845362,0.977330385,0.998473,0.000875376,0.001437092,1.001927683,0.995738194,1.008156
Age 60+All,0.005479468,0.006041603,1.00714874,0.991763412,1.022773,0.000433855,0.000682377,1.00561242,0.988411183,1.023113,3.04E-05,0.000585162,1.000547182,0.980103125,1.021418,-0.001045607,0.002790991,0.997702308,0.98576717,1.009782
Age 60+ Female,-0.004637102,0.007676863,0.993989901,0.974735741,1.013624,-0.000350469,0.000864297,0.995489154,0.973970819,1.017483,-0.000383939,0.000741305,0.993112923,0.967476501,1.019429,-0.001306397,0.003537679,0.997130053,0.982034788,1.012457
Age 60+ Male,0.020027818,0.008714672,1.026378065,1.003838527,1.049424,0.001573313,0.000989084,1.020503097,0.995298823,1.046346,0.000636137,0.000848067,1.011516274,0.981700175,1.042238,-0.00072885,0.004042578,0.998397815,0.981144956,1.015954
All: LAG 8,0.000534518,0.002563343,1.000695115,0.994180475,1.007252,0.000194427,0.000290613,1.002511256,0.995171942,1.009905,-0.000201038,0.000243844,0.996387856,0.987852879,1.004997,0.000427504,0.00115798,1.000940951,0.9959555,1.005951
Female,-0.000704548,0.00339974,0.999084507,0.990467277,1.007777,2.51E-05,0.000384134,1.000324213,0.990655649,1.010087,-0.000132452,0.000323014,0.997618704,0.986314441,1.009053,-0.000259054,0.001532974,0.999430244,0.992845613,1.006059
Male,0.001374635,0.002945196,1.001788623,0.994298979,1.009335,0.000309213,0.00033467,1.003996814,0.99553704,1.012528,-0.000245212,0.000280416,0.995595911,0.985794965,1.005494,0.000886763,0.001332118,1.001952783,0.996213971,1.007725
Warm All,-0.005892908,0.002635094,0.992368489,0.985727827,0.999054,-0.001638856,0.000418546,0.979080667,0.96877416,0.989497,0.000169698,0.000236093,1.003059234,0.99473909,1.011449,-0.001993225,0.001289011,0.995624505,0.990105961,1.001174
Warm Female,-0.009057766,0.003432551,0.988293959,0.979687892,0.996976,-0.001885289,0.000546187,0.975973126,0.962587777,0.989545,-0.000156555,0.0003073,0.997185977,0.986433334,1.008056,-0.002981582,0.001679644,0.993461986,0.986292707,1.000683
Warm Male,-0.003811321,0.003021259,0.995057537,0.987426826,1.002747,-0.001481734,0.000479836,0.981067153,0.969236586,0.993042,0.000387493,0.000270658,1.006999255,0.99742937,1.016661,-0.001353234,0.001477203,0.997027312,0.990696732,1.003398
Cold All,0.007208467,0.002493585,1.009415052,1.003021909,1.015849,0.000835897,0.000231633,1.010841418,1.004938617,1.016779,-0.00068781,0.000253727,0.987695744,0.978893851,0.996577,0.002080645,0.001053576,1.004587911,1.0000344,1.009162
Cold Female,0.007687636,0.003375071,1.010044033,1.001395218,1.018768,0.000659188,0.000312849,1.008539783,1.000593627,1.016549,-9.81E-05,0.000342885,0.998236577,0.986233673,1.010386,0.001463259,0.001421791,1.003224357,0.997092642,1.009394
Cold Male,0.006907731,0.002876804,1.009020492,1.001651316,1.016444,0.000957697,0.000267688,1.012430921,1.005601699,1.019307,-0.001086736,0.000292685,0.980628832,0.97055503,0.990807,0.002502815,0.001217165,1.00552138,1.000257811,1.010813
Age 0-10 All,0.004179495,0.005318987,1.005448131,0.991913438,1.019168,-0.00026637,0.000612866,0.996569724,0.981246205,1.012133,0.00080595,0.000497929,1.014612839,0.996944841,1.032594,-0.000559608,0.002384019,0.99876962,0.988554971,1.009090
Age 0-10 Female,0.000830435,0.007464607,1.001080148,0.982219715,1.020303,-0.00070504,0.000859293,0.990946219,0.969648756,1.012711,0.00108528,0.000695053,1.019727097,0.995025982,1.045041,-0.004230418,0.003329706,0.990736256,0.976613199,1.005064
Age 0-10 Male,0.006819085,0.006605083,1.008904219,0.992066695,1.026028,7.49E-05,0.000761533,1.000966921,0.981878067,1.020427,0.000595736,0.00062096,1.010780948,0.98887809,1.033169,0.002276184,0.002970353,1.005020164,0.992229788,1.017975
Age 11-60 All,-0.000692349,0.002751675,0.999100351,0.992119891,1.006130,0.000193374,0.000311218,1.002497639,0.994640104,1.010417,-0.000394539,0.000262019,0.992923455,0.983787134,1.002145,0.000398119,0.001242788,1.000876245,0.995526994,1.006254
Age 11-60 Female,-0.000931445,0.003851574,0.998789854,0.98903586,1.008640,0.000169615,0.000433678,1.002190429,0.991261325,1.013240,-0.000448305,0.000366476,0.991962981,0.979220176,1.004872,-0.000259063,0.00173654,0.999430224,0.991974479,1.006942
Age 11-60 Male,-0.000550637,0.003175135,0.999284428,0.991232588,1.007402,0.000207735,0.000360067,1.002683375,0.993596438,1.011853,-0.000363057,0.000302544,0.993486281,0.982938447,1.004147,0.000782571,0.00143545,1.001723139,0.995541962,1.007943
